GISJOIN,GEOGYEAR,ZCTAA,CL8AA1990,CL8AA1990L,CL8AA1990U,CL8AA2000,CL8AA2000L,CL8AA2000U,CL8AA2010,CL8AA2020,CL8AA2020L,CL8AA2020U
"G01001","2010","01001",15380.11,15132,15939,16403.27,16292,16871,16769,17246.46,17150,17559
"G01002","2010","01002",27843.19,24346,32768,28080.16,25558,29284,29049,28628.62,27713,30517
"G01003","2010","01003",8999.81,5307,9989,8491.00,8491,8491,10372,12203.38,10315,13119
"G01005","2010","01005",4225.12,3776,4532,4794.59,4385,5061,5079,5223.02,5174,5277
"G01007","2010","01007",10573.62,9602,10773,12959.59,12025,13167,14649,15350.00,15350,15350
"G01008","2010","01008",1221.33,1054,1257,1246.56,1079,1293,1263,1245.03,1245,1293
"G01009","2010","01009",951.26,727,1131,887.06,616,1094,741,933.30,892,996
"G01010","2010","01010",3003.55,2991,3205,3341.49,3336,3648,3609,3694.00,3645,3694
"G01011","2010","01011",1241.14,1124,1633,1339.82,1198,1740,1370,1212.64,1124,1265
"G01012","2010","01012",574.69,481,632,668.04,543,739,661,621.49,591,644
"G01013","2010","01013",23464.98,22442,24622,22963.30,22320,23708,23188,23620.33,23264,23807
"G01020","2010","01020",30912.99,28331,33324,29478.23,27613,30975,29668,29806.73,29456,30239
"G01022","2010","01022",2285.49,1601,3183,2229.21,1908,2896,2451,2148.94,2073,2313
"G01026","2010","01026",847.60,736,1166,1049.82,928,1302,946,922.43,909,939
"G01027","2010","01027",16862.15,15694,17678,17459.18,16176,18219,17660,17832.99,17758,17833
"G01028","2010","01028",13413.64,12490,15884,14175.29,12966,16051,15720,16430.00,16430,16430
"G01029","2010","01029",478.09,406,603,662.79,592,801,789,826.72,790,827
"G01030","2010","01030",11947.21,11456,12633,11745.12,11273,12301,11669,11445.54,11133,11542
"G01031","2010","01031",1242.84,795,1455,1244.35,996,1316,1308,1196.23,1110,1224
"G01032","2010","01032",431.34,361,618,497.51,409,642,570,564.56,453,592
"G01033","2010","01033",5556.98,5246,6829,6133.50,5795,7231,6227,6111.83,6110,6546
"G01034","2010","01034",1654.21,1622,1726,1910.39,1868,1969,2021,1978.97,1929,1979
"G01035","2010","01035",4232.86,3827,6434,4795.58,4347,7027,5250,5324.90,4939,5325
"G01036","2010","01036",4636.32,4431,4948,5068.91,4814,5501,5109,4940.72,4835,5050
"G01037","2010","01037",455.75,347,566,627.60,608,637,838,630.00,630,632
"G01038","2010","01038",2546.00,2542,2546,2559.00,2557,2559,2545,2676.15,2676,2685
"G01039","2010","01039",1340.47,769,1897,1287.25,867,2020,1336,1399.45,1390,1639
"G01040","2010","01040",43689.81,43078,44116,39827.13,39222,40253,39880,38238.00,38238,38238
"G01050","2010","01050",2266.55,1771,2686,2402.63,1874,2885,2530,2392.44,2376,2583
"G01053","2010","01053",1799.66,1315,2833,1751.76,1315,2630,1685,1905.41,1890,2157
"G01054","2010","01054",1780.84,1284,2737,1664.14,1281,2781,1851,1865.00,1865,1865
"G01056","2010","01056",18819.89,18601,19160,21208.90,20973,21285,21103,21001.99,20751,21002
"G01057","2010","01057",7421.32,6552,8232,8336.32,7346,8720,8534,8136.82,7710,8520
"G01060","2010","01060",16240.26,14580,17290,15571.46,13890,16360,15284,16098.04,15959,16193
"G01062","2010","01062",10813.41,9516,12319,11253.05,10242,12731,11150,11039.77,10724,11181
"G01063","2010","01063",436.23,0,1185,402.59,0,1113,430,528.00,528,541
"G01066","2010","01066",33.00,33,33,71.00,71,71,64,63.98,40,64
"G01068","2010","01068",1494.20,1124,1594,1664.04,1238,1781,1902,1851.00,1851,1851
"G01069","2010","01069",8207.31,6787,10427,8527.01,7691,10562,8469,8400.18,7752,9179
"G01070","2010","01070",559.23,364,656,571.43,383,678,629,594.41,594,606
"G01071","2010","01071",1401.04,1016,1507,1479.69,1086,1544,1596,1486.00,1486,1486
"G01072","2010","01072",1301.42,810,1350,1503.26,891,1525,1478,1413.39,1393,1423
"G01073","2010","01073",4453.33,3567,5176,5361.19,4605,6161,5792,6224.01,6224,6299
"G01074","2010","01074",319.90,227,466,315.95,266,429,319,306.98,253,356
"G01075","2010","01075",16689.79,16166,17303,17190.40,16721,17813,17527,18148.18,17965,18150
"G01077","2010","01077",7669.58,7584,9066,8837.41,8758,10292,9502,9232.65,9232,9775
"G01079","2010","01079",712.29,429,1104,717.46,406,950,692,722.11,502,1051
"G01080","2010","01080",2540.36,2005,2880,2466.76,1957,2666,2334,2475.26,2239,2605
"G01081","2010","01081",1431.55,993,1637,1593.51,1027,1804,1698,1698.57,1262,2007
"G01082","2010","01082",10106.27,9545,10447,10076.45,9577,10421,10322,10529.41,10509,10682
"G01083","2010","01083",2645.85,1938,2905,2802.59,2056,3117,2888,2787.21,2584,2833
"G01084","2010","01084",156.27,103,282,166.05,118,343,176,183.51,161,214
"G01085","2010","01085",38657.10,35356,40257,40231.01,37274,41697,41117,40694.76,39248,41531
"G01086","2010","01086",409.39,0,2222,504.50,0,1947,687,836.17,3,2156
"G01088","2010","01088",606.24,605,1407,621.51,619,1605,670,611.78,581,612
"G01089","2010","01089",27543.82,27442,27880,27904.88,27875,28204,28391,28835.00,28835,28835
"G01092","2010","01092",1170.02,1055,1329,1234.17,1081,1361,1394,1326.62,1323,1370
"G01093","2010","01093",309.80,93,407,338.76,92,451,325,350.40,301,426
"G01094","2010","01094",346.36,300,358,340.70,315,341,351,348.00,348,348
"G01095","2010","01095",12816.02,12547,15512,13589.35,13388,16294,14319,14694.00,14694,14694
"G01096","2010","01096",2071.28,1445,2277,2143.28,1527,2357,2217,2132.99,1868,2255
"G01097","2010","01097",133.07,40,150,112.06,110,113,111,130.00,130,130
"G01098","2010","01098",1105.49,944,1212,1215.71,1069,1323,1101,1138.16,1063,1140
"G01103","2010","01103",2328.96,2304,2521,2708.62,2702,2748,2479,2497.00,2497,2497
"G01104","2010","01104",22335.43,21626,22850,22105.43,21560,22607,22865,23662.12,23655,23700
"G01105","2010","01105",14576.64,13265,15206,12753.36,11442,13200,12350,12085.87,12041,12088
"G01106","2010","01106",15665.60,15538,15688,15861.65,15727,16074,16021,16156.53,16154,16652
"G01107","2010","01107",12543.42,12458,12793,11599.61,11515,11839,11611,11229.88,11167,11237
"G01108","2010","01108",26115.58,25120,27135,26154.45,25616,27334,26688,27580.44,27571,27597
"G01109","2010","01109",32829.01,32648,33943,30705.94,30524,31373,30250,31032.97,30937,31857
"G01118","2010","01118",14631.73,12003,15529,14308.44,12406,15308,14071,14342.85,14342,14388
"G01119","2010","01119",12760.81,12037,12951,13139.88,12563,13413,14152,14343.16,13549,14550
"G01128","2010","01128",3155.67,2775,3610,3031.31,2693,3390,2631,2645.18,2573,2731
"G01129","2010","01129",6997.48,4348,7567,7004.55,4268,7526,7019,7040.96,6797,7114
"G01151","2010","01151",8456.06,8066,8464,8303.87,8175,8311,8698,9150.00,9150,9150
"G01199","2010","01199",2.76,0,211,2.73,0,209,0,0.00,0,25
"G01201","2010","01201",50355.60,46954,51270,47586.67,44996,48197,46504,45530.42,45356,45589
"G01220","2010","01220",9594.47,9124,10484,8942.70,8422,9773,8603,8290.02,8261,8398
"G01222","2010","01222",652.07,614,733,822.74,788,896,829,754.26,732,817
"G01223","2010","01223",2091.72,1889,2249,2296.58,2114,2387,2314,2418.00,2417,2420
"G01224","2010","01224",190.83,23,263,229.86,149,273,182,181.15,117,213
"G01225","2010","01225",3328.30,2519,3780,3268.68,2752,3693,3117,3132.98,2754,3163
"G01226","2010","01226",7299.28,6500,9988,7089.99,6416,8796,6945,6507.93,6478,6928
"G01229","2010","01229",100.48,12,102,130.97,14,133,95,120.01,30,121
"G01230","2010","01230",8590.54,8090,9479,8674.33,8135,9556,8430,8562.18,8224,8958
"G01235","2010","01235",2684.05,2402,3585,2581.35,2417,3360,2766,2597.07,2480,2620
"G01236","2010","01236",1621.05,1485,1683,1678.26,1515,1733,1509,1507.14,1347,1548
"G01237","2010","01237",2377.67,1445,3511,2322.67,1775,3277,2496,2523.68,2343,2744
"G01238","2010","01238",6001.92,5834,6221,6088.92,5920,6296,6047,5985.58,5903,6019
"G01240","2010","01240",4519.68,4104,5755,4686.89,4317,5854,4534,4691.30,4681,4744
"G01242","2010","01242",475.34,182,665,376.27,114,504,476,449.00,432,449
"G01243","2010","01243",303.08,275,358,363.15,324,410,334,251.00,212,335
"G01244","2010","01244",137.14,25,217,156.75,32,255,151,115.00,109,159
"G01245","2010","01245",817.72,651,999,960.26,778,1176,985,1102.49,1072,1211
"G01247","2010","01247",19218.75,18314,20015,16968.21,16057,17735,16087,15253.00,15215,15264
"G01253","2010","01253",526.62,433,734,622.65,503,852,731,732.79,660,798
"G01254","2010","01254",1136.25,719,1376,1081.67,632,1403,972,969.93,936,1017
"G01255","2010","01255",666.89,541,711,822.11,662,873,915,989.00,989,989
"G01256","2010","01256",634.89,487,791,705.22,549,920,692,645.00,645,683
"G01257","2010","01257",1992.58,1645,2322,2212.93,1903,2581,2121,2248.09,2110,2340
"G01258","2010","01258",396.47,144,682,387.95,163,610,374,440.37,279,591
"G01259","2010","01259",531.64,404,605,642.07,493,754,635,690.73,644,742
"G01260","2010","01260",228.28,82,302,246.27,78,313,240,226.00,136,226
"G01262","2010","01262",1519.94,1227,2019,1369.82,1086,1885,1238,1274.02,1198,1672
"G01264","2010","01264",153.56,77,218,162.82,68,254,137,180.49,178,195
"G01266","2010","01266",1855.46,1566,2224,1664.57,1354,2056,1463,1515.43,1284,1621
"G01267","2010","01267",8462.78,7887,8776,8684.45,8096,8967,7989,7766.83,7720,7896
"G01270","2010","01270",649.28,502,931,755.27,692,1053,778,736.00,720,738
"G01301","2010","01301",18919.87,18904,19102,18453.07,18435,18649,17700,18051.23,17872,18053
"G01330","2010","01330",1530.35,1283,1613,1568.57,1295,1660,1506,1482.70,1457,1499
"G01331","2010","01331",12912.56,11825,13108,12906.01,11888,13101,13263,13633.10,13275,13742
"G01337","2010","01337",2457.35,2290,2472,2645.71,2459,2660,2596,2552.68,2551,2716
"G01338","2010","01338",188.98,55,495,185.66,91,488,187,187.05,187,210
"G01339","2010","01339",1393.00,1182,1739,1579.63,1393,1901,1438,1371.06,1279,1417
"G01340","2010","01340",1772.65,1302,1826,1840.07,1449,1887,1701,1629.99,1590,1630
"G01341","2010","01341",1460.92,1232,1684,1748.21,1447,1977,1833,1696.44,1670,1723
"G01342","2010","01342",1297.61,941,1733,1124.25,780,1537,1492,1510.54,1260,1564
"G01343","2010","01343",66.77,37,77,75.29,50,85,75,59.00,59,59
"G01344","2010","01344",1110.06,634,1162,1223.47,803,1265,1498,1407.00,1272,1407
"G01346","2010","01346",523.02,346,564,568.28,417,607,533,543.00,543,543
"G01347","2010","01347",194.09,173,242,203.68,201,230,166,211.00,198,211
"G01349","2010","01349",1038.90,931,1346,1088.75,963,1386,1091,1074.00,1044,1270
"G01350","2010","01350",114.98,69,154,93.36,68,127,121,118.00,118,118
"G01351","2010","01351",1989.06,1633,3012,2256.43,1965,3391,2270,2312.49,2235,2329
"G01354","2010","01354",1582.52,1551,1680,1363.51,1333,1469,1500,1551.00,1551,1551
"G01355","2010","01355",709.54,456,927,827.88,582,1054,878,863.61,854,915
"G01360","2010","01360",2837.89,2580,3222,2949.97,2703,3250,3032,2866.00,2866,2866
"G01364","2010","01364",7437.02,6773,7957,7632.86,7053,7994,7969,7709.96,7592,8080
"G01366","2010","01366",1175.33,1013,1616,1220.88,1069,1734,1277,1231.00,1222,1231
"G01367","2010","01367",542.49,444,714,500.15,417,647,522,551.89,500,637
"G01368","2010","01368",1156.49,1100,1332,1259.69,1208,1409,1261,1257.00,1211,1257
"G01370","2010","01370",4185.75,3922,4983,4322.79,4080,4991,4084,3991.94,3949,4076
"G01373","2010","01373",4603.57,4156,5216,4646.57,4248,5328,4600,4576.92,4439,4901
"G01375","2010","01375",3394.29,2554,3421,3772.27,2843,3781,3684,3663.10,3663,4049
"G01376","2010","01376",5400.05,5330,5641,5230.22,5083,5495,5247,5278.51,5275,5334
"G01378","2010","01378",731.82,666,1416,746.43,681,1389,774,773.00,734,773
"G01379","2010","01379",862.42,788,1515,947.79,875,1619,813,886.00,877,886
"G01420","2010","01420",41170.72,39744,44522,39093.92,37793,40965,40337,41976.00,41976,42043
"G01430","2010","01430",5437.75,5137,5870,5557.42,5291,6077,6089,6336.00,6336,6336
"G01431","2010","01431",2716.67,2339,2737,2843.30,2481,2858,3074,3193.01,3193,3766
"G01432","2010","01432",6254.42,4600,6484,7010.52,5272,7248,7089,8212.20,8209,8233
"G01434","2010","01434",8628.90,3735,9027,1018.58,1018,1024,1795,1674.80,1654,1678
"G01436","2010","01436",2869.60,1927,3017,3106.91,2130,3268,3336,3260.76,3182,3325
"G01438","2010","01438",593.56,285,642,434.85,224,477,559,531.00,481,531
"G01440","2010","01440",20207.66,19637,21562,20879.79,20226,21849,20347,21425.99,21425,21541
"G01450","2010","01450",7499.41,5546,9421,9491.16,7282,11628,10646,11315.00,11315,11315
"G01451","2010","01451",4400.41,4135,5593,4908.31,4561,6186,4747,5105.48,4950,5318
"G01452","2010","01452",2796.25,2416,3106,3908.34,3452,4430,4382,4328.00,4328,4328
"G01453","2010","01453",38232.23,33011,39218,41367.80,38042,42333,40883,43873.00,43806,43873
"G01460","2010","01460",7050.03,6217,8847,8161.20,7167,10234,8924,10141.00,10141,10141
"G01462","2010","01462",9161.51,8900,10692,9447.67,9212,10726,10086,11782.00,11782,11782
"G01463","2010","01463",10113.50,9129,11588,11170.26,10070,12840,11497,11604.81,11604,11644
"G01464","2010","01464",5747.07,5397,6200,6372.01,6321,6510,7211,7413.00,7413,7413
"G01467","2010","01467",273.25,137,404,331.49,253,519,316,355.51,143,466
"G01468","2010","01468",2908.71,2738,3362,3158.04,2955,3722,4021,4244.19,4199,4245
"G01469","2010","01469",6693.00,5873,7075,6820.32,5925,7292,6801,7020.89,6876,7238
"G01473","2010","01473",6188.90,4871,6648,6907.17,5697,7300,7277,8213.00,8213,8213
"G01474","2010","01474",1789.16,1401,2198,2370.45,1945,2756,2125,2106.18,2076,2251
"G01475","2010","01475",8784.09,8778,9492,9587.36,9579,10241,10270,10318.14,10317,10321
"G01501","2010","01501",14992.00,13791,18164,15826.64,14677,19024,16075,16787.87,16688,16825
"G01503","2010","01503",2301.68,2136,4209,2386.38,2147,4443,2866,3158.90,3158,3288
"G01504","2010","01504",8021.69,7011,9187,8803.28,7935,10130,9026,9207.49,8983,9582
"G01505","2010","01505",3526.56,2827,5396,4047.19,3169,6022,4355,4849.00,4849,4849
"G01506","2010","01506",2972.78,2665,3760,3057.86,2706,3812,3390,3439.00,3439,3439
"G01507","2010","01507",9592.73,8244,11192,11274.66,9885,13098,12981,13315.00,13315,13315
"G01510","2010","01510",13226.30,10161,13608,13445.71,10777,13892,13606,15428.00,15428,15428
"G01515","2010","01515",2035.59,1505,2719,2099.28,1581,2638,2183,2224.00,2224,2224
"G01516","2010","01516",5508.36,5204,6361,7089.20,6775,7977,8500,9004.00,9004,9075
"G01518","2010","01518",2251.29,2024,2417,2340.47,2082,2497,2974,3231.24,3070,3423
"G01519","2010","01519",4807.22,4409,5383,5902.17,5186,6796,6595,7335.65,7139,7994
"G01520","2010","01520",11773.56,9500,13688,12519.53,10893,14156,13997,16326.67,15986,16431
"G01521","2010","01521",2185.67,1991,2458,2407.80,2176,2732,2481,2603.56,2319,2927
"G01522","2010","01522",2793.30,2336,4788,3045.14,2567,5168,3310,3531.33,3427,3872
"G01523","2010","01523",6275.98,5031,9342,7042.93,6353,9593,7582,8104.00,8041,8104
"G01524","2010","01524",6303.30,4964,7786,6315.10,4902,7748,6696,6676.60,6596,6866
"G01525","2010","01525",205.33,0,449,78.66,0,172,290,250.94,0,254
"G01527","2010","01527",12270.93,10667,14139,12853.38,11497,15218,13246,13810.61,13808,13830
"G01529","2010","01529",2231.54,1654,2764,2728.21,2075,3553,3190,3175.24,3174,3357
"G01531","2010","01531",881.53,698,1604,929.75,726,1548,999,995.94,981,996
"G01532","2010","01532",11926.12,10828,13498,14009.69,12515,16207,14155,15739.58,15180,15911
"G01534","2010","01534",4352.09,3232,5758,4332.95,3300,5903,5631,5955.54,5529,6041
"G01535","2010","01535",4713.17,4501,5240,4691.40,4475,5279,4680,4735.00,4735,4735
"G01536","2010","01536",5577.86,4904,6797,6240.46,5309,8144,6888,7544.88,6774,8168
"G01537","2010","01537",2212.88,971,2511,2198.97,944,2486,2248,2232.00,2232,2232
"G01540","2010","01540",10197.24,9230,11882,10969.87,9792,12724,11291,10950.01,10950,11054
"G01541","2010","01541",3187.86,2204,3710,3348.82,2415,3943,3413,3495.01,3495,3543
"G01542","2010","01542",1686.04,1177,2344,2068.83,1473,2556,2202,2283.48,2245,2306
"G01543","2010","01543",4934.10,3988,5042,6350.12,4974,6450,7973,9049.00,9049,9049
"G01545","2010","01545",24156.21,23040,26515,31581.54,30525,34787,35299,38168.34,38111,38276
"G01550","2010","01550",17808.51,16871,18581,17214.20,16290,18016,16719,17740.00,17740,17837
"G01560","2010","01560",2643.18,1756,3133,2788.54,1762,3239,4527,4896.00,4896,4896
"G01561","2010","01561",278.19,274,1012,237.23,235,351,330,216.00,216,279
"G01562","2010","01562",11642.15,11259,13182,11689.81,11252,13263,11688,11992.00,11992,11992
"G01564","2010","01564",6487.33,5674,8975,7260.95,6160,9746,7808,7984.99,7937,7985
"G01566","2010","01566",5522.95,4927,6005,5496.15,4931,6021,6294,6635.76,6493,6797
"G01568","2010","01568",4658.52,4061,5876,5620.05,4800,7096,7480,7944.06,7868,8315
"G01569","2010","01569",10452.57,9468,12316,11088.18,10057,12494,13569,14255.83,14108,14305
"G01570","2010","01570",16190.66,15683,16196,16409.20,15708,16415,16767,17776.02,17776,17846
"G01571","2010","01571",9532.18,8355,10380,10028.98,8874,10801,11390,11921.00,11921,11921
"G01581","2010","01581",14117.76,12182,14973,17954.86,14808,19023,18272,21562.17,21023,22398
"G01583","2010","01583",6513.91,4979,8345,7318.15,5326,9058,7591,7641.93,7006,7877
"G01585","2010","01585",4152.43,3606,4988,4540.74,4035,5600,4554,4694.18,4652,4854
"G01588","2010","01588",8788.50,5671,10562,8838.35,6276,10282,9733,10075.90,9914,10838
"G01590","2010","01590",6746.18,5221,9933,8211.94,6907,11109,8875,9294.78,9142,9336
"G01602","2010","01602",21665.47,18189,25203,22000.51,19363,25053,22819,25384.83,23772,26876
"G01603","2010","01603",18255.71,16565,20797,18775.99,17553,20777,19916,22364.22,21793,23132
"G01604","2010","01604",31585.51,28722,33343,33508.55,31011,35078,34677,41074.63,39063,41666
"G01605","2010","01605",24618.36,21225,29686,24970.07,21929,30071,26221,29159.42,27566,32254
"G01606","2010","01606",18605.19,16501,21056,18544.17,16682,21432,19077,21411.48,20954,22841
"G01607","2010","01607",7659.95,5220,11549,8034.97,5632,11608,8351,9537.41,9126,10940
"G01608","2010","01608",3534.06,3292,4004,3529.32,3396,3746,3888,5072.07,4922,5377
"G01609","2010","01609",20414.03,15442,23800,20672.09,15593,22863,22421,24404.77,21309,25587
"G01610","2010","01610",23535.10,20333,24799,22855.86,19809,23522,23945,28514.77,28293,28823
"G01611","2010","01611",2373.37,955,2598,2248.57,991,2465,2242,2291.92,2141,2350
"G01612","2010","01612",4067.57,2369,4691,4407.17,2824,5214,4845,5051.00,5051,5051
"G01701","2010","01701",31451.58,28559,33479,31131.78,28596,33177,31217,33005.00,33005,33005
"G01702","2010","01702",33622.44,32909,37001,36012.87,34901,38900,37206,39447.67,39357,39515
"G01718","2010","01718",448.96,0,569,462.12,82,594,469,529.00,529,529
"G01719","2010","01719",3346.35,2492,4667,4871.24,3291,6214,4996,5506.01,5506,5551
"G01720","2010","01720",17339.53,14166,18890,19738.14,15895,21008,21361,23403.00,23403,23463
"G01721","2010","01721",12036.36,8546,12873,14633.78,11949,15329,16593,18832.00,18832,18832
"G01730","2010","01730",12271.97,10147,17126,12553.74,10909,13635,13221,14603.85,14586,14806
"G01731","2010","01731",3832.12,0,4231,2913.36,2766,2933,1396,1516.04,815,1532
"G01740","2010","01740",3106.28,2389,3636,4119.72,3249,4713,4897,5664.92,5556,5748
"G01741","2010","01741",4337.81,3026,7108,4722.27,3434,8136,4852,5236.92,5223,5237
"G01742","2010","01742",17096.17,15073,19251,17091.40,15783,19640,17726,18548.08,18473,18562
"G01745","2010","01745",403.64,143,520,370.68,112,524,397,451.10,275,558
"G01746","2010","01746",12959.49,11976,15558,13838.71,12805,15782,13547,14996.00,14996,14996
"G01747","2010","01747",5650.04,3379,6250,5833.10,4115,6428,5911,6017.20,6002,6066
"G01748","2010","01748",9160.15,7764,9947,13317.39,11871,14084,14925,18758.00,18758,18758
"G01749","2010","01749",17223.27,16257,18079,18093.47,17039,18943,19063,20091.19,20071,20092
"G01752","2010","01752",31842.08,29732,32921,36301.07,34750,37642,38499,41794.39,41793,41954
"G01754","2010","01754",10310.51,8169,10641,10418.19,8562,10789,10106,10746.00,10746,10746
"G01756","2010","01756",3988.96,2742,6068,5254.22,3849,6903,5839,6227.77,6189,6252
"G01757","2010","01757",25402.77,24842,26859,26910.89,26502,28366,28061,30434.96,30064,30526
"G01760","2010","01760",30347.50,24978,30993,31797.35,26928,32564,32786,36726.20,36516,36954
"G01770","2010","01770",3990.80,3422,7138,4209.87,3602,7827,4119,4401.13,4401,4544
"G01772","2010","01772",6221.32,5324,6521,8396.20,7099,8702,9370,9998.90,9461,10175
"G01773","2010","01773",4555.61,3264,6331,5151.41,3782,7024,5112,5597.96,5597,6314
"G01775","2010","01775",5324.78,4025,6199,5900.34,4611,7451,6590,7173.99,7091,7174
"G01776","2010","01776",14349.16,12778,19483,16828.91,14934,20337,17659,18934.00,18934,18958
"G01778","2010","01778",11886.99,10483,14293,13160.02,11684,15674,13109,14132.00,13971,14132
"G01801","2010","01801",36051.53,31733,43332,37295.48,32697,43197,38903,40885.85,40634,41506
"G01803","2010","01803",23259.54,18800,27516,22878.51,19795,27132,24487,26090.32,25440,26359
"G01810","2010","01810",29155.70,27942,30683,31254.88,29729,32283,33201,36594.69,36293,38033
"G01821","2010","01821",28605.30,26556,30879,29266.40,27304,30689,30310,30926.63,30221,30995
"G01824","2010","01824",24573.65,21913,27146,25316.73,22837,27555,24911,26866.79,26866,27090
"G01826","2010","01826",25723.50,23259,29482,28692.92,27007,31977,29422,32536.56,32239,32593
"G01827","2010","01827",2233.62,1773,3521,2829.01,2277,4097,3179,3358.00,3358,3358
"G01830","2010","01830",22167.02,21777,22379,24329.25,23774,24330,25137,27553.00,27553,27553
"G01832","2010","01832",17197.13,16951,17995,21259.02,21212,22397,22060,25656.00,25629,25656
"G01833","2010","01833",6374.89,5252,7265,7374.73,6119,8040,8183,8470.00,8470,8470
"G01834","2010","01834",5229.83,4319,6201,6050.73,4857,7043,6459,6752.00,6752,6752
"G01835","2010","01835",12084.41,10954,12468,13423.05,12885,13889,13682,14578.00,14578,14578
"G01840","2010","01840",3989.00,3989,3989,4350.00,4350,4350,4733,6324.21,6295,6704
"G01841","2010","01841",43962.42,41789,45484,44479.33,42379,45893,47225,54490.51,53721,54594
"G01843","2010","01843",22279.14,21303,22801,23181.10,22414,23813,24425,28346.00,27959,28346
"G01844","2010","01844",39923.41,37593,42688,43761.57,41269,46439,47249,53081.30,52967,54932
"G01845","2010","01845",22804.00,21885,23822,27213.01,26644,28457,28352,30914.96,30875,31302
"G01850","2010","01850",15338.51,13289,15434,15718.28,13878,15808,15237,16655.00,16655,16655
"G01851","2010","01851",27624.15,25607,27787,29617.98,28131,29957,30190,32691.00,32691,32691
"G01852","2010","01852",33608.36,31420,34047,32888.38,30510,33462,33508,36747.37,36683,36826
"G01854","2010","01854",26635.85,24458,28326,26741.37,25279,27836,27606,29517.07,29382,29879
"G01860","2010","01860",5189.11,5050,5529,6144.65,6134,6408,6338,6719.29,6613,6723
"G01862","2010","01862",9345.12,8075,10909,10032.10,8931,11377,10227,11482.14,11436,11502
"G01863","2010","01863",7791.67,5655,9489,8549.08,6453,10106,8891,9525.72,9341,9526
"G01864","2010","01864",12031.59,10250,12738,13865.77,12412,14477,14892,15555.87,15364,15814
"G01867","2010","01867",22485.23,20713,24237,23634.98,21555,25231,23956,25503.46,25503,25624
"G01876","2010","01876",27035.35,26219,30883,28648.98,28231,32085,28667,31003.92,29566,31497
"G01879","2010","01879",8675.30,6843,14086,11100.68,9540,15609,11305,12404.00,12152,12404
"G01880","2010","01880",24565.25,22316,30645,24508.06,22298,30995,24733,26570.23,25354,27105
"G01886","2010","01886",16425.02,14943,19179,20814.95,18179,23797,21951,24642.49,24604,24895
"G01887","2010","01887",17574.33,13910,19525,21253.64,18247,22140,22325,23369.16,22837,23936
"G01890","2010","01890",20275.28,18235,23044,20808.49,18690,23572,21382,22975.00,22975,23106
"G01901","2010","01901",867.08,834,873,1656.31,1266,1668,1689,2486.00,2486,2497
"G01902","2010","01902",40869.04,40188,42171,45633.69,44942,47394,45139,51343.59,50989,51406
"G01904","2010","01904",17308.57,16053,18380,17852.68,16741,19059,18203,19764.31,19617,20335
"G01905","2010","01905",22240.42,21089,23788,23989.28,22917,25475,25251,27473.10,26229,27558
"G01906","2010","01906",25659.86,24531,27824,26153.99,25011,28422,26660,28767.93,27839,31134
"G01907","2010","01907",13590.41,12357,15077,14414.86,13153,15912,14027,15324.00,15324,15462
"G01908","2010","01908",3816.36,3801,3828,3617.77,3599,3632,3410,3334.00,3334,3334
"G01913","2010","01913",14984.79,14663,15446,16455.69,16294,16800,16283,17366.00,17366,17366
"G01915","2010","01915",38196.29,34926,38641,39867.47,37627,40409,39502,42480.75,42377,42689
"G01921","2010","01921",6236.76,4722,8822,7889.25,6160,9760,7961,8184.42,7903,8268
"G01922","2010","01922",2315.42,1218,2601,2999.10,1805,3653,3108,3118.56,2985,3134
"G01923","2010","01923",24200.89,23372,29481,25233.04,24309,29373,26342,28176.28,27747,28383
"G01929","2010","01929",3266.25,2712,4289,3272.89,2706,4405,3504,3675.00,3675,3675
"G01930","2010","01930",28720.27,26702,29835,30279.39,28274,31178,28789,29729.00,29729,29729
"G01937","2010","01937",0.00,0,0,0.00,0,0,151,100.00,100,100
"G01938","2010","01938",11867.09,10040,12810,12983.84,12087,13610,13175,13785.00,13546,13856
"G01940","2010","01940",11635.54,9037,12691,11929.71,9122,12792,12108,13839.87,13324,15047
"G01944","2010","01944",5290.38,5286,5953,5231.21,5228,5907,5136,5394.84,5376,5576
"G01945","2010","01945",19977.39,19617,20121,20376.69,20010,20499,19808,20441.00,20441,20441
"G01949","2010","01949",4924.37,4131,7306,7746.77,7081,9895,8987,9778.92,9699,9779
"G01950","2010","01950",16372.33,15351,16696,17256.46,16342,17569,17416,18288.74,18125,18289
"G01951","2010","01951",3259.02,2760,4438,3656.83,3078,4726,3558,3597.70,3582,3895
"G01952","2010","01952",6871.70,6549,7010,7815.41,7481,7919,8283,9174.45,8299,9585
"G01960","2010","01960",46914.75,43459,49137,48011.42,44809,50072,50944,54157.09,54155,54844
"G01966","2010","01966",7475.00,6363,8834,7758.79,6862,9046,6952,6992.00,6992,6992
"G01969","2010","01969",4368.33,3472,5119,5502.43,4761,6406,5856,6161.00,6161,6161
"G01970","2010","01970",38013.18,35902,38659,40269.77,38367,40920,41109,44284.71,44093,44285
"G01982","2010","01982",7263.47,6170,7836,8302.69,7121,8902,7764,7561.00,7490,7561
"G01983","2010","01983",5734.69,4665,7632,6129.72,5150,6772,6089,6587.32,6446,7108
"G01984","2010","01984",4208.53,3554,6278,4429.00,3659,6555,4875,4979.05,4798,5054
"G01985","2010","01985",3422.42,3378,4575,4152.47,4100,5638,4235,4500.00,4500,4500
"G02019","2010","02019",14840.20,11991,16065,15283.64,13108,16333,16332,16947.29,16695,17142
