GISJOIN,GEOGYEAR,ZCTAA,CL8AA1990,CL8AA1990L,CL8AA1990U,CL8AA2000,CL8AA2000L,CL8AA2000U,CL8AA2010,CL8AA2020,CL8AA2020L,CL8AA2020U
"G54552","2010","54552",5109.74,5062,5137,4904.84,4869,4935,4416,4391.23,4301,4535
"G54554","2010","54554",1122.08,1089,1138,1255.10,1193,1256,1120,1100.32,1072,1121
"G54555","2010","54555",5040.41,4868,5152,5457.96,5248,5535,4872,4868.25,4720,5026
"G54556","2010","54556",1280.86,1209,1350,1310.77,1293,1345,1298,1157.71,1136,1243
"G54557","2010","54557",761.38,720,779,889.13,834,906,925,1208.46,1165,1245
"G54558","2010","54558",1374.80,1373,1414,1957.00,1957,1957,2177,2168.88,2166,2232
"G54559","2010","54559",718.81,692,1061,802.14,765,889,795,776.00,743,776
"G54560","2010","54560",493.75,394,499,580.10,568,587,589,620.74,598,640
"G54561","2010","54561",31.00,31,69,32.67,31,56,35,42.26,33,65
"G54562","2010","54562",1765.32,1702,1847,2100.69,1991,2167,1948,2165.15,2053,2232
"G54563","2010","54563",689.53,564,782,719.54,635,799,720,685.08,678,733
"G54564","2010","54564",384.00,374,388,525.00,520,549,387,458.02,447,529
"G54565","2010","54565",70.97,69,71,62.97,61,63,60,54.00,54,64
"G54566","2010","54566",1288.43,1231,1300,1614.07,1613,1623,1496,1416.00,1413,1451
"G54568","2010","54568",4048.78,3986,4081,4918.69,4755,4968,5198,5304.59,5121,5386
"G54601","2010","54601",47832.64,47363,48079,48484.91,48330,48589,49282,51066.67,50932,51300
"G54603","2010","54603",15167.57,15157,15173,14845.99,14841,14847,14305,14206.03,14203,14218
"G54610","2010","54610",1969.38,1851,2360,1940.11,1815,2100,1624,1526.22,1521,1662
"G54611","2010","54611",1038.65,931,1148,1186.76,1080,1233,1307,1158.40,1066,1206
"G54612","2010","54612",4337.14,4064,4536,4443.33,4347,4478,5152,5854.11,5778,5891
"G54613","2010","54613",1463.84,1414,1489,1745.78,1685,1756,1826,1786.00,1769,1830
"G54614","2010","54614",2608.87,2408,2779,2904.91,2832,2951,2947,2907.59,2872,2943
"G54615","2010","54615",8027.03,7908,8208,10061.37,10040,10084,10742,10885.26,10842,10983
"G54616","2010","54616",2450.64,2347,2649,2524.79,2478,2668,2601,2605.39,2505,2888
"G54618","2010","54618",1975.67,1823,2122,2084.28,2074,2093,2262,2226.71,2139,2302
"G54619","2010","54619",3166.07,2760,3447,3632.12,3382,3788,3923,3996.04,3611,4123
"G54621","2010","54621",969.45,735,1267,1074.52,944,1226,1147,1167.73,953,1345
"G54622","2010","54622",2133.23,1928,2285,2170.93,2139,2319,2121,2113.21,2047,2138
"G54623","2010","54623",1836.56,1694,2138,1935.94,1811,2127,1930,1820.30,1616,1970
"G54624","2010","54624",1228.05,1084,1443,1416.23,1410,1454,1383,1404.24,1400,1415
"G54625","2010","54625",254.18,242,260,262.76,235,274,240,242.00,230,247
"G54626","2010","54626",1218.28,969,1329,1315.15,1074,1415,1215,1192.71,1137,1242
"G54627","2010","54627",1838.29,1656,1999,1833.83,1772,1925,1819,1861.26,1790,1968
"G54628","2010","54628",1104.47,775,1397,1126.55,1007,1307,1092,1114.82,1052,1144
"G54629","2010","54629",2483.55,2463,2490,2614.99,2573,2619,2576,2577.44,2555,2614
"G54630","2010","54630",3210.70,3008,3394,3458.66,3269,3592,3770,4039.14,3894,4169
"G54631","2010","54631",1968.54,1613,2314,2038.05,1763,2309,1844,1824.59,1701,2020
"G54632","2010","54632",1114.64,1037,1313,1208.37,1179,1329,1247,1228.36,1209,1339
"G54634","2010","54634",3488.24,3254,3738,3871.24,3815,3947,4258,4295.26,4217,4359
"G54635","2010","54635",1678.73,1514,1817,1795.43,1764,1798,1799,1843.02,1751,1919
"G54636","2010","54636",6624.46,5452,7939,9765.67,9639,9842,13737,16225.83,15508,17241
"G54637","2010","54637",151.00,151,158,107.00,107,117,187,152.00,152,152
"G54638","2010","54638",1314.36,1233,1439,1391.72,1385,1465,1487,1524.67,1418,1652
"G54639","2010","54639",2097.79,1793,2407,2270.02,2210,2320,2397,2605.73,2472,2716
"G54641","2010","54641",4.09,0,7,0.00,0,0,2,7.00,5,7
"G54642","2010","54642",1856.36,1657,2010,1842.61,1727,1957,2125,2287.61,2155,2345
"G54643","2010","54643",17.00,13,17,7.00,7,7,12,14.00,14,14
